id,climate,energy,environment,resources,sustainability,dedicated
GMA06-COMPTA FISA,0,0,0,0,0,0
GMA06-AMELIO FISA,0,0,0,0,0,0
GMA06-ANGL FISA,0,0,0,0,0,0
GMA06-MSMD FISA,0,0,0,0,0,0
GMA06-AUT FISA,0,0,0,0,0,0
GMA06-MOPI FISA,0,0,0,0,0,0
GMA06-DICM FISA,0,0,0,0,0,0
GMA06-RDM FISA,0,0,0,0,0,0
GMA06-MDF FISA,0,0,0,0,0,0
GMA06-CDM FISA,0,0,0,0,0,0
ARO05-STA2-4,0,0,0,0,0,0
INF05-STA2-4,0,0,0,0,0,0
GMA05-STA2-4,0,0,0,0,0,0
GCU05-STA2-4,0,0,0,0,0,0
EII05-STA2-4,0,0,0,0,0,0
HUMF1-THEA,0,0,0,0,0,0
GMA05-AURES,0,0,0,0,0,0
ESM05-SIG,0,1,0,0,0,0
GMA05-ARSM,0,0,0,0,0,0
GMA05-PMI,0,0,0,0,0,0
GMA05-TPMAT,0,0,0,0,0,0
ESM05-MAT,0,0,0,0,0,0
GMA05-MSI,0,0,0,0,0,0
GMA05-MMC,0,0,0,0,0,0
GMA05-PRO PPS FISA,0,0,0,0,0,0
GMA05-PRO MISSI FISA,0,0,0,0,0,0
GMA05-EPS FISA,0,0,0,0,0,0
GMA05-RISQ FISA,0,0,0,0,0,0
GMA05-RSDD FISA,0,0,0,0,0,0
GMA05-ANGL FISA,0,0,0,0,0,0
GMA05-ANAL FISA,0,0,0,0,0,0
GMA05-AURES FISA,0,0,0,0,0,0
GMA05-SIG FISA,0,0,0,0,0,0
GMA05-ARSM FISA,0,0,0,0,0,0
GMA05-PMI FISA,0,0,0,0,0,0
GMA05-MSI FISA,0,0,0,0,0,0
GMA05-MMC FISA,0,0,0,0,0,0
HUM09-PM-PRO,0,0,0,0,0,0
DET09-CONF,0,0,0,0,0,0
GCU09-SPEC-GPD,0,0,0,0,0,0
GCU09-SPEC-GPC,0,0,0,0,0,0
INF09-STGDATING,0,0,0,0,0,0
EII09-HUMT,0,0,0,0,0,0
EII09-EVST,0,0,0,0,0,0
HUM09-PM-F,0,1,1,0,1,0
HUM09-PM-E,0,0,0,0,0,0
HUM09-PM-D,0,0,0,0,0,0
HUM09-PM-C,0,0,0,0,0,0
HUM09-PM-B,0,0,0,0,0,0
HUM09-PM-A,0,0,0,0,0,0
HUM09-ANGL-TOEIC,0,0,0,0,0,0
HUM09-ANGL-CONV,0,0,0,0,0,0
GCU09-CMX,0,0,0,0,0,0
GCU09-POUV,0,0,0,0,0,0
GCU09-BP2,0,0,0,0,0,0
GCU09-HYDR,0,0,0,0,0,0
GCU09-HYTM,0,0,0,0,0,0
GCU09-OGEO,0,0,0,0,0,0
GCU09-MECH,0,0,0,0,0,0
GCU09-URBA2,0,0,0,0,0,0
GCU09-DURB,0,0,0,0,0,0
GCU09-VIT,0,0,0,0,0,0
GCU09-AURB,0,0,0,0,0,0
GCU09-QAIR,0,0,0,0,0,0
GCU09-GTD,0,0,0,0,0,0
GCU09-HUR,0,0,0,0,1,0
GCU09-HYU,0,0,0,0,1,0
GCU09-FETB,0,0,0,0,0,0
GCU09-TCOND,0,0,0,0,0,0
GCU09-THER3,0,1,0,0,0,0
GCU09-ABAT,0,0,0,0,0,0
GCU09-CPA2,0,0,0,0,0,0
GCU09-CM2,0,0,0,0,0,0
GCU09-CBOI2,0,0,0,0,0,0
GCU09-URBA1,0,0,0,0,1,0
GCU09-CPA1,0,0,0,0,0,0
GCU09-DDC,0,0,0,0,0,0
GCU09-CBOI1,0,0,0,0,0,0
GCU09-MRO,0,0,0,0,0,0
GCU09-MARS,0,0,0,0,0,0
GCU09-BP1,0,0,0,0,0,0
GCU09-BA4,0,0,0,0,0,0
GCU09-DUR,0,0,0,0,0,0
GCU08-STAGE,0,0,0,0,0,0
HUM08-IE,0,0,0,0,0,0
HUM08-EPS,0,0,0,0,0,0
HUM08-SHES2,0,0,0,0,0,0
HUM08-SHES1,0,0,0,0,0,0
HUM08-TEJS,0,0,0,0,0,0
HUM08-ANGL,0,0,0,0,0,0
C,0,0,0,0,0,0
GCU08-CM1,0,0,0,0,0,0
GCU08-BA3,0,0,0,0,0,0
GCU08-IR,0,0,0,0,0,0
GCU08-CDB,0,0,0,0,0,0
